Name,Description,Price1,Price2,Image
Mahou,5 estrellas,$5.390,$ Precio x L : $16.333,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/877414a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Miller ,Cerv Miller Sixpack Lata,$5.090,$ Precio x Un : $848,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/292787a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mestra,Pack Cerveza Cero Alcohol,$3.790,$ Precio x Un : $948,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/624509a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Escudo,Pack Cervezas Silver (6 Latas de 350 cc c/u),$3.190,$ Precio x Un : $532,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/893032a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Blue Moon,Pack Cervezas (4 Botellas 355 cc c/u),$4.190,$ Precio x Un : $1.048,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/944827a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mahou,Mahou Clásica,$950,$ Precio x L : $1.900,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/716506a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Pack Cerveza Bock,$5.790,$ Precio x Un : $1.448,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/269620a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kross,Kross Maibock,$5.190,$ Precio x L : $15.727,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/571229a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Volcanes del Sur,Cerveza Lúcuma Botella,$1.490,$ Precio x L : $4.257,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771570a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Del Puerto,Cerveza Ale Ámbar,$1.190,$ Precio x L : $3.606,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/285523a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Modelo,Cerveza Negra,$1.190,$ Precio x L : $3.662,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/880289a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Damm,Cerveza Voll Damm Doble Malta 330ml,$1.190,$ Precio x L : $3.606,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771564a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Quimera,Cerveza Imperial Stout Botella,$1.190,$ Precio x L : $3.606,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/760136a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza Ale Gran Torobayo,$2.750,$ Precio x L : $5.729,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/276334a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
